dataset,subject,sfreq,n_channels,theta_centroid,alpha_centroid,theta_peak,alpha_peak,theta_frontal,PCI,convergence,ratio_centroid,ratio_frontal,PCI_frontal,convergence_frontal
OpenNeuro,sub-020,1024.0,80,6.969880570905694,10.148952335147053,8.0,10.25,,0.8994863663527676,0.3145572274423431,1.4561156725571063,,,
OpenNeuro,sub-020,1024.0,80,6.834857774007273,10.231152951318775,8.0,10.25,,1.0033369427117338,0.29443848305069803,1.4969079517978405,,,
OpenNeuro,sub-042,1024.0,80,5.848060898872305,10.630715719894736,4.0,11.25,,-0.06051625946313804,0.20908889255491386,1.8178189153168158,,,
OpenNeuro,sub-042,1024.0,80,5.786464184860555,10.582792425609695,4.0,11.0,,-0.13678836397237154,0.2084928198833635,1.8288875706339007,,,
OpenNeuro,sub-042,1024.0,80,5.741729404398475,10.645830910393727,4.0,11.25,,-0.31249352427011673,0.20391095061501124,1.8541157481643848,,,
OpenNeuro,sub-042,1024.0,80,5.814627491002306,10.489776475181571,4.0,10.25,,0.03426366903448167,0.21389692678971442,1.8040324150452807,,,
OpenNeuro,sub-016,1024.0,73,6.330355766920088,9.319756160040333,7.75,9.25,,0.9376458347715055,0.3345152433582945,1.4722326047995056,,,
OpenNeuro,sub-016,1024.0,73,6.427946368822134,9.36559666255807,8.0,9.25,,0.9015219570914633,0.34040811533365223,1.4570122594651074,,,
OpenNeuro,sub-030,1024.0,73,6.444382305808858,10.03007215330771,8.0,10.0,,1.2129031322338513,0.2788863628842679,1.55640551372422,,,
OpenNeuro,sub-030,1024.0,73,6.513024286359444,10.130131348677194,8.0,10.0,,1.208399264274416,0.2764640312745472,1.5553652041330845,,,
OpenNeuro,sub-030,1024.0,73,6.456286232933754,9.971786505979097,8.0,10.0,,1.163527235403913,0.28445453629100087,1.544508119096803,,,
OpenNeuro,sub-030,1024.0,73,6.524438693553027,9.826706048239375,8.0,9.75,,1.0305518476007292,0.302822240779769,1.5061381537617031,,,
OpenNeuro,sub-069,1024.0,80,6.671386472423532,9.082345912121207,8.0,8.5,,0.7280291484729263,0.4147726351320934,1.3613880637350992,,,
OpenNeuro,sub-069,1024.0,80,6.4893817695348925,9.137091125163861,8.0,8.5,,0.8029153981505998,0.3776849592173035,1.408006409494804,,,
OpenNeuro,sub-069,1024.0,80,6.6615740702097925,9.065018347455387,8.0,8.5,,0.7271662767471296,0.4160695587858705,1.3607922469846385,,,
OpenNeuro,sub-051,1024.0,80,6.3083860301589105,9.682283496027026,8.0,9.75,,1.1265165572721123,0.29639312104663995,1.5348273630907026,,,
OpenNeuro,sub-083,1024.0,80,5.7328950146345745,10.446448004509902,4.0,10.25,,-0.09063217936151889,0.2121541864805576,1.8221941929588568,,,
OpenNeuro,sub-083,1024.0,80,5.751826620154998,10.497240888611842,4.0,10.5,,-0.1101544411926054,0.21072975791535878,1.8250273490213387,,,
