subject,theta_centroid,alpha_centroid,theta_peak,alpha_peak,PCI,convergence,theta_frontal,dataset
sub-010002,5.813410585504544,10.510403080953989,4.2724609375,10.6201171875,0.007277737150751845,0.2129021924069121,5.185104220675741,LEMON
sub-010003,6.400239567988427,9.93852989929448,7.6904296875,9.27734375,1.1976087651325231,0.2826223702312411,6.428739321786156,LEMON
sub-010004,6.468165745736527,9.808077088350402,7.9345703125,8.056640625,1.0626364769739514,0.29940914515933886,5.750410464060439,LEMON
sub-010005,6.1888767637021145,9.609388090452246,7.9345703125,9.521484375,1.1969742785959974,0.29235395076154064,5.494333614802092,LEMON
sub-010006,6.706948517104591,9.386805591528924,7.568359375,8.544921875,0.7881752035905345,0.37315422883692867,5.714690021577658,LEMON
sub-010007,6.246242820292734,9.453982664927455,6.9580078125,9.3994140625,1.0535884219877187,0.3117459795477504,5.383326281070234,LEMON
sub-010010,6.137513937397852,9.4380429133989,7.9345703125,9.1552734375,1.1374628510293001,0.302981736343248,5.585652547373276,LEMON
sub-010012,6.020126096227236,10.421748369194132,7.9345703125,10.498046875,0.5485447349316437,0.22718896306519143,5.408814417984585,LEMON
sub-010015,5.675463993209342,10.379279950903909,4.5166015625,8.4228515625,-0.1361731981185367,0.2125933516519043,5.347599544506436,LEMON
sub-010016,5.638966629198494,11.10260544885938,4.0283203125,12.3291015625,-1.2352867052366017,0.18302820391448704,5.412150183069901,LEMON
sub-010017,5.817824305784394,10.250704836931044,4.0283203125,9.521484375,0.3263828889243923,0.22558695028519768,5.543220705513795,LEMON
sub-010019,5.621423840831018,10.61826439429296,4.638671875,11.1083984375,-0.5634518655196982,0.20012645776883428,5.547867529642194,LEMON
sub-010021,6.373123364466828,9.589638831278052,7.9345703125,8.6669921875,1.0262065169201489,0.31089544269823643,5.815787115315689,LEMON
sub-010022,5.889844547407571,10.44703151622192,5.37109375,10.7421875,0.24369155045741223,0.2194336126305943,5.824316486978892,LEMON
sub-010023,5.8673129101445145,10.209501040348846,5.615234375,10.009765625,0.4831124036182887,0.23029863516137952,5.592343403130427,LEMON
sub-010024,6.109347186275766,9.590093650347818,7.9345703125,9.521484375,1.2741762267123542,0.28729469679044684,5.605653052559678,LEMON
sub-010026,6.054216148283723,9.468518287976307,7.9345703125,9.3994140625,1.2467501125454399,0.2928856202778931,5.6129859440621885,LEMON
sub-010027,5.884506429164602,9.270520509689415,5.0048828125,8.6669921875,1.3024140889124496,0.2953324989850619,5.487932680911295,LEMON
sub-010028,5.778910294371247,10.341547712499809,4.2724609375,10.6201171875,0.13412269975605956,0.21917148095676775,5.378386640097211,LEMON
sub-010029,6.427359187032525,9.765590568236917,7.9345703125,10.25390625,1.0725265045758654,0.29955982249475244,5.732820613724375,LEMON
sub-010030,5.938559107641745,9.513767025462723,7.9345703125,9.3994140625,1.4569342882466665,0.2797040124618769,5.359202811105439,LEMON
sub-010031,5.9788732118386,10.653100971839526,6.9580078125,10.3759765625,0.18768192279280835,0.21393908284858626,5.466729601136777,LEMON
sub-010032,5.752938266280181,10.361254486781728,4.0283203125,9.8876953125,0.05486254819928287,0.21699899749743407,5.473222476692078,LEMON
sub-010033,6.170802448517079,9.82696682629128,6.8359375,9.521484375,1.3968850253685863,0.2735106785895605,5.908816201288031,LEMON
sub-010034,5.825955257388618,10.475434644974156,4.0283203125,11.71875,0.07532514975504682,0.21507784348288023,5.467445619797441,LEMON
sub-010035,5.71445786361492,10.893409408079528,4.638671875,10.986328125,-0.6952966639944027,0.19308927519679633,5.298455048425252,LEMON
sub-010036,5.8240640537572,10.47626975848554,4.150390625,9.8876953125,0.07031986516254973,0.21495180210617837,5.325277716070106,LEMON
sub-010037,6.543617172519425,9.944006929104576,7.9345703125,10.25390625,1.073426363467911,0.29408393495581286,5.838511761356721,LEMON
sub-010038,6.347878643434711,10.118045772489712,7.9345703125,8.6669921875,1.4055278349174047,0.26524023094187127,5.649235644398371,LEMON
sub-010039,5.907136657523048,10.27814358213648,4.5166015625,9.521484375,0.483917894553166,0.22878023696758137,5.326246571726101,LEMON
sub-010040,6.131420155065101,9.713163360785778,7.9345703125,9.6435546875,1.3489091348855673,0.2791936614559143,5.730150476878513,LEMON
